Title,Artist,Album,Status,Match Path
BAD (Original Mix)www.livingelectro.com,David Guetta & Showtek feat. Vassy,,MATCH,/Users/patrickmoniqui/Music/MUSIQUE/David Guetta & Showtek feat. Vassy - BAD (Original Mix)www.livingelectro.com.mp3
Dangerous (Banging SoundMan Club Hitter),David Guetta Feat Sam Martin,,NOT_FOUND,
Dangerous (Banging SoundMan Quick Hitter),David Guetta Feat Sam Martin,,NOT_FOUND,
Sexy Bitch (Dj Cosmic CLEAN Club Mix) vs. Chuckie Remix,David Guetta feat. Akon,,NOT_FOUND,
Who's That Chick (Afrojack Dub Remix),David Guetta ft Rihanna,,MATCH,/Users/patrickmoniqui/Music/MUSIQUE/David Guetta ft Rihanna   Who s That Chick (Afrojack Dub Remix) [HD].mp3
Memories,David Guetta ft. Kid CuDi,One Love,MATCH,/Users/patrickmoniqui/Music/MUSIQUE/Memories.mp3
Choose,David Guetta Ft. Ne-Yo & Kelly Rowland,One More Love (CD1),MATCH,/Users/patrickmoniqui/Music/MUSIQUE/David Guetta/One More Love/CD1/108 - David Guetta - Choose (Ft. Ne-Yo & Kelly Rowland).mp3
Missing You,David Guetta ft. Novel,One Love,MATCH,/Users/patrickmoniqui/Music/MUSIQUE/Missing You.mp3
Titanium (Official Instrumental),David Guetta ft. Sia,,NOT_FOUND,
I Wanna Go Crazy,David Guetta ft. Will I Am,Summer Session 11,MATCH,/Users/patrickmoniqui/Music/MUSIQUE/Dan Desnoyers/Summer Session 11/08 I Wanna Go Crazy.mp3
BAD (DJ SoundMan Quick Hitter),David Guetta Showtek Feat Vassy,,NOT_FOUND,
Sun Goes Down (Extended Mix),"David Guetta, Showtek feat. Magic! & Sonny Wilson",,NOT_FOUND,
Venus vs. Mars,"David Latour, Hi-Mode & Narco",Summer Session 11,MATCH,/Users/patrickmoniqui/Music/MUSIQUE/Dan Desnoyers/Summer Session 11/14 Venus vs. Mars.mp3
Some Chords,Deadmau5,4x4=12 (Deluxe Version),MULTIPLE_MATCHES,
G6 N Stuff (Inphinity Bootleg),Deadmau5 vs. Far East Movement ft. Dev & Cataracs,Inphinity Bootleg,MATCH,/Users/patrickmoniqui/Music/MUSIQUE/G6 N Stuff (Inphinity Bootleg) 2.mp3
Who Do U Love,Deborah Cox,,NOT_FOUND,
Groove Is In The Heart,Dee-Lite,,NOT_FOUND,
Breakfast At Tiffany's,Deep Blue Something,,NOT_FOUND,
Have You Ever Needed Someone So Bad,Def Leppard,Adrenalize,NOT_FOUND,
Let's Get Rocked,Def Leppard,Adrenalize,NOT_FOUND,
Two Steps Behind,Def Leppard,Vault - Greatest Hits 1980-199,NOT_FOUND,
Roll To Me,Del Amitri,Billboard Hits - 1995 - Disk 4,NOT_FOUND,
Shuri Shuri (Dj Cosmic Bodybangers Hype Rebuild),Denis Naidanow feat. Juan Magan,,NOT_FOUND,
Five Hours (Cosmic Rebuild),Deorro,,NOT_FOUND,
Red Lips (Original Mix) (feat. Pasha),Deorro,Elevation EP,MATCH,/Users/patrickmoniqui/Music/MUSIQUE/Deorro/Elevation (EP)/02 Red Lips (Original Mix) (feat. Pasha).mp3
Cayendo (Original Mix) (feat. Tess Marie),Deorro,Elevation EP,MATCH,/Users/patrickmoniqui/Music/MUSIQUE/Deorro/Elevation (EP)/03 Cayendo (Original Mix) (feat. Tess Marie).mp3
Elevated (Original Mix) (feat. Erick Gold),Deorro,Elevation EP,MATCH,/Users/patrickmoniqui/Music/MUSIQUE/Deorro/Elevation (EP)/04 Elevated (Original Mix) (feat. Erick Gold).mp3
Queef (Original Mix) www.livingelectro.com,Deorro & Joel Fletcher,,MATCH,/Users/patrickmoniqui/Music/MUSIQUE/Deorro & Joel Fletcher - Queef (Original Mix) www.livingelectro.com.mp3
Enjoy The Silence,Depeche Mode,,NOT_FOUND,
You Gotta Be,Des'ree,,NOT_FOUND,
Shy Guy,Diana King,,NOT_FOUND,
5150 Call The Popo,Dierks Bentley,,MATCH,/Users/patrickmoniqui/Music/MUSIQUE/Dierks Bentley 5-1-5-0.mp3
Rebirth Of Slick (Cool Like Dat),Digable Planets,1993 Top 100,NOT_FOUND,
Cognac (Martell Edit),Digi-Boyz x Plume x Bassjackers,,NOT_FOUND,
Higher Place (Bassjackers remix) vs. Wave Your Hands,Dimitri Vegas & Like Mike,,NOT_FOUND,
NOVA (Original Mix),Dimitri Vegas & Like Mike & Tujamo & Felguk,,NOT_FOUND,
G.I.P.S.Y. (Original Mix),Dimitri Vegas & Like Mike vs Boostedkids,,NOT_FOUND,
Dimitri Vegas & Like Mike vs. Ummet Ozcan - The Hum (Original Mix)www.livingelectro.com,Dimitri Vegas & Like Mike vs. Ummet Ozcan,,NOT_FOUND,
Melody (DJ Moneykey Edit),Dimitri Vegas and Like Mike,,NOT_FOUND,
The Hum (DJ SoundMan Quick Hitter),Dimitri Vegas Like Mike ft Ummet Ozcan,,NOT_FOUND,
Tremor - Dynamiq Hype Edit,"Dimitri Vegas, Martin Garrix and Like Mike",Tremor,MATCH,"/Users/patrickmoniqui/Music/MUSIQUE/Dimitri Vegas, Like Mike, & Martin Garrix - Tremor - Dynamiq Hype Edit.mp3"
Tremor (Drop Dopers Deep Bootleg),"Dimitri Vegas, Martin Garrix, Like Mike",,NOT_FOUND,
Ooh Child,Dino,1993 Top 100,NOT_FOUND,
Romeo,Dino,,NOT_FOUND,
I Know,Dionne Farris,,NOT_FOUND,
Tom's Diner,Dirty Impact vs Royal XTC,Summer Session 11,MATCH,/Users/patrickmoniqui/Music/MUSIQUE/Dan Desnoyers/Summer Session 11/12 Tom's Diner.mp3
Counting Blue Cars,Dishwalla,,NOT_FOUND,
I Touch Myself,Divinyls,Living In The 90's - Disk 2,NOT_FOUND,
Ma Cherie (Remay Radio Edit),DJ Antoine ft The Beat Shakers,,MATCH,/Users/patrickmoniqui/Music/MUSIQUE/DJ Antoine ft The Beat Shakers Ma Cherie (Remay Radio Edit).mp3
Can You Feel It (Deep House Remix),DJ Ariana Gomez,,NOT_FOUND,
Electro House 2010 (WICKED MIX),DJ BL3ND,,MATCH,/Users/patrickmoniqui/Music/MUSIQUE/Electro House 2010 (WICKED MIX).mp3
Electro House 2011 (SWAGGA MIX),DJ BL3ND,,MATCH,/Users/patrickmoniqui/Music/MUSIQUE/(SWAGGA MIX) DJ BL3ND.mp3
Electro House 2011 (EN3RGY MIX),DJ BL3ND,,MATCH,/Users/patrickmoniqui/Music/MUSIQUE/Cosmic 4 Pat/(EN3RGY MIX) DJ BL3ND.mp3
Let The Bass Kick In Miami (Dj Cosmic Blend),Dj Chuckie,,NOT_FOUND,
Blu Sky Holiday (Extended Mix),DJ F.R.A.N.K featuring Craig Smart,,NOT_FOUND,
Summertime,DJ Jazzy & The Fresh Prince,1991 Top 100,NOT_FOUND,
We Taking Over,"DJ Khaled Feat. T.I., Akon, Rick Ross, Baby, Lil Wayne",,MATCH,/Users/patrickmoniqui/Music/MUSIQUE/We Taking Over.mp3
Latin Injection (Dj Cosmic Rebuild),Dj Silence,,MATCH,/Users/patrickmoniqui/Music/MUSIQUE/Cosmic 4 Pat/Dj Silence - Latin Injection (Dj Cosmic Rebuild).mp3
Latin Injection (Cosmic vs. Asino Remix Hype Rebuild),Dj Silenco,,NOT_FOUND,
Turn Down For What Vs. Deez Nutz,DJ Snake,,NOT_FOUND,
